bpp_range,metric,config_a,config_b,characteristic,correlation,p_value,n,wins_a,wins_b
Very Low (0.2-0.5),butteraugli,jpegli-444,mozjpeg-444,edge_density,-0.5777723648148054,0.0304715757915194,14,11,3
Very Low (0.2-0.5),butteraugli,jpegli-444,mozjpeg-444,chroma_complexity,-0.28049216530996596,0.33137569240595005,14,11,3
Very Low (0.2-0.5),butteraugli,jpegli-444,mozjpeg-444,uniform_block_fraction,0.3602774302439141,0.20573675971500865,14,11,3
Low (0.5-1.0),ssimulacra2,jpegli-444,mozjpeg-420,variance,-0.09294369957493956,0.5683897141327813,40,17,23
Low (0.5-1.0),ssimulacra2,jpegli-444,mozjpeg-420,edge_density,-0.5297533556082519,0.00043915042468726037,40,17,23
Low (0.5-1.0),ssimulacra2,jpegli-444,mozjpeg-420,chroma_complexity,0.053320644248441934,0.7438430608341162,40,17,23
Low (0.5-1.0),ssimulacra2,jpegli-444,mozjpeg-420,uniform_block_fraction,0.5303476824329455,0.00043148335766947165,40,17,23
Low (0.5-1.0),ssimulacra2,jpegli-444,mozjpeg-444,variance,0.08979312043858842,0.7146880037229321,19,17,2
Low (0.5-1.0),ssimulacra2,jpegli-444,mozjpeg-444,edge_density,-0.5776170214492882,0.00959971451494911,19,17,2
Low (0.5-1.0),ssimulacra2,jpegli-444,mozjpeg-444,chroma_complexity,-0.4597386178247,0.04765879932563973,19,17,2
Low (0.5-1.0),ssimulacra2,jpegli-444,mozjpeg-444,uniform_block_fraction,-0.07364848803353322,0.7644524444724153,19,17,2
Low (0.5-1.0),ssimulacra2,jpegli-420,jpegli-444,variance,-0.038292406513557066,0.7695270866534283,61,44,17
Low (0.5-1.0),ssimulacra2,jpegli-420,jpegli-444,edge_density,0.4183425575130652,0.0007934672321239573,61,44,17
Low (0.5-1.0),ssimulacra2,jpegli-420,jpegli-444,chroma_complexity,-0.11656797997925877,0.3709766237231948,61,44,17
Low (0.5-1.0),ssimulacra2,jpegli-420,jpegli-444,uniform_block_fraction,-0.5070687285090855,3.0416357844050373e-05,61,44,17
Low (0.5-1.0),ssimulacra2,jpegli-420,mozjpeg-420,variance,-0.13638549027043315,0.27111152214149165,67,44,23
Low (0.5-1.0),ssimulacra2,jpegli-420,mozjpeg-420,edge_density,-0.3638052656359216,0.0024759310579521845,67,44,23
Low (0.5-1.0),ssimulacra2,jpegli-420,mozjpeg-420,chroma_complexity,-0.0651804263722993,0.6002491836108726,67,44,23
Low (0.5-1.0),ssimulacra2,jpegli-420,mozjpeg-420,uniform_block_fraction,0.018794483260779413,0.8800091094047929,67,44,23
Low (0.5-1.0),ssimulacra2,jpegli-420,mozjpeg-444,variance,0.04823370349748011,0.7502427839269008,46,44,2
Low (0.5-1.0),ssimulacra2,jpegli-420,mozjpeg-444,edge_density,-0.34795091288887164,0.017810103396571714,46,44,2
Low (0.5-1.0),ssimulacra2,jpegli-420,mozjpeg-444,chroma_complexity,-0.5513212843564963,7.159040643338561e-05,46,44,2
Low (0.5-1.0),ssimulacra2,jpegli-420,mozjpeg-444,uniform_block_fraction,-0.3220094489094107,0.029082609717565995,46,44,2
Low (0.5-1.0),ssimulacra2,mozjpeg-420,mozjpeg-444,variance,0.16225955319201363,0.4383876304502238,25,23,2
Low (0.5-1.0),ssimulacra2,mozjpeg-420,mozjpeg-444,edge_density,-0.11978165002706669,0.568470052574406,25,23,2
Low (0.5-1.0),ssimulacra2,mozjpeg-420,mozjpeg-444,chroma_complexity,-0.5124059669506145,0.008822652406917458,25,23,2
Low (0.5-1.0),ssimulacra2,mozjpeg-420,mozjpeg-444,uniform_block_fraction,-0.38927936371201716,0.05442971555324877,25,23,2
Low (0.5-1.0),butteraugli,jpegli-444,mozjpeg-444,variance,0.04671378651509842,0.77764436281494,39,37,2
Low (0.5-1.0),butteraugli,jpegli-444,mozjpeg-444,edge_density,-0.03771867034486395,0.8196694062583986,39,37,2
Low (0.5-1.0),butteraugli,jpegli-444,mozjpeg-444,chroma_complexity,-0.46434894807648713,0.0029025507584286006,39,37,2
Low (0.5-1.0),butteraugli,jpegli-444,mozjpeg-444,uniform_block_fraction,-0.13775185143335023,0.4030038984236078,39,37,2
Low (0.5-1.0),butteraugli,jpegli-444,mozjpeg-420,variance,-0.13240402864366407,0.41539429149584656,40,37,3
Low (0.5-1.0),butteraugli,jpegli-444,mozjpeg-420,edge_density,-0.6551652563406559,4.487356495067407e-06,40,37,3
Low (0.5-1.0),butteraugli,jpegli-444,mozjpeg-420,chroma_complexity,0.11700344967553489,0.47213793263946596,40,37,3
Low (0.5-1.0),butteraugli,jpegli-444,mozjpeg-420,uniform_block_fraction,0.2659186324888619,0.0972167835254613,40,37,3
Low (0.5-1.0),butteraugli,jpegli-420,jpegli-444,variance,0.08928109339784815,0.4279960939898747,81,44,37
Low (0.5-1.0),butteraugli,jpegli-420,jpegli-444,edge_density,0.3410633105656983,0.0018341398703181678,81,44,37
Low (0.5-1.0),butteraugli,jpegli-420,jpegli-444,chroma_complexity,-0.1953751931495447,0.08047546400299824,81,44,37
Low (0.5-1.0),butteraugli,jpegli-420,jpegli-444,uniform_block_fraction,-0.4031075422962383,0.00019056429708558787,81,44,37
Low (0.5-1.0),butteraugli,jpegli-420,mozjpeg-444,variance,0.07562626428212493,0.617411171898517,46,44,2
Low (0.5-1.0),butteraugli,jpegli-420,mozjpeg-444,edge_density,0.10329024543681915,0.4945438904751452,46,44,2
Low (0.5-1.0),butteraugli,jpegli-420,mozjpeg-444,chroma_complexity,-0.5968338658645294,1.19827689977562e-05,46,44,2
Low (0.5-1.0),butteraugli,jpegli-420,mozjpeg-444,uniform_block_fraction,-0.40164467554220357,0.005663099053774671,46,44,2
Low (0.5-1.0),butteraugli,jpegli-420,mozjpeg-420,variance,-0.06990603077149178,0.6405582403361855,47,44,3
Low (0.5-1.0),butteraugli,jpegli-420,mozjpeg-420,edge_density,-0.26243405021608485,0.07473435478791057,47,44,3
Low (0.5-1.0),butteraugli,jpegli-420,mozjpeg-420,chroma_complexity,0.028877006723147955,0.8472095934870737,47,44,3
Low (0.5-1.0),butteraugli,jpegli-420,mozjpeg-420,uniform_block_fraction,0.14887071536724844,0.31793862423364166,47,44,3
Medium (1.0-1.5),ssimulacra2,jpegli-444,mozjpeg-420,variance,-0.007575404702895135,0.9541905091629989,60,27,33
Medium (1.0-1.5),ssimulacra2,jpegli-444,mozjpeg-420,edge_density,-0.30441801929541723,0.01803807934160294,60,27,33
Medium (1.0-1.5),ssimulacra2,jpegli-444,mozjpeg-420,chroma_complexity,0.18138562872552094,0.16544573709514712,60,27,33
Medium (1.0-1.5),ssimulacra2,jpegli-444,mozjpeg-420,uniform_block_fraction,0.11345033248325842,0.38808923310929705,60,27,33
Medium (1.0-1.5),ssimulacra2,jpegli-444,mozjpeg-444,variance,0.18956181860411342,0.3157212067791788,30,27,3
Medium (1.0-1.5),ssimulacra2,jpegli-444,mozjpeg-444,edge_density,-0.2782887798759632,0.13646677807307614,30,27,3
Medium (1.0-1.5),ssimulacra2,jpegli-444,mozjpeg-444,chroma_complexity,-0.5875658699419675,0.0006403067490395844,30,27,3
Medium (1.0-1.5),ssimulacra2,jpegli-444,mozjpeg-444,uniform_block_fraction,-0.17506066406600157,0.3548219441375877,30,27,3
Medium (1.0-1.5),ssimulacra2,jpegli-420,jpegli-444,variance,-0.3219642672509551,0.022599572009632248,50,23,27
Medium (1.0-1.5),ssimulacra2,jpegli-420,jpegli-444,edge_density,0.04713181177186463,0.7451632650577971,50,23,27
Medium (1.0-1.5),ssimulacra2,jpegli-420,jpegli-444,chroma_complexity,-0.17360034049762774,0.22794399072802998,50,23,27
Medium (1.0-1.5),ssimulacra2,jpegli-420,jpegli-444,uniform_block_fraction,-0.25590696627231624,0.07285028438303992,50,23,27
Medium (1.0-1.5),ssimulacra2,jpegli-420,mozjpeg-420,variance,-0.3720411580753143,0.0047512652644194605,56,23,33
Medium (1.0-1.5),ssimulacra2,jpegli-420,mozjpeg-420,edge_density,-0.28132212268461754,0.035696842955992465,56,23,33
Medium (1.0-1.5),ssimulacra2,jpegli-420,mozjpeg-420,chroma_complexity,-0.0009432780416617909,0.994494930459428,56,23,33
Medium (1.0-1.5),ssimulacra2,jpegli-420,mozjpeg-420,uniform_block_fraction,-0.13292372736066987,0.32875852286810875,56,23,33
Medium (1.0-1.5),ssimulacra2,jpegli-420,mozjpeg-444,variance,0.00453752311799464,0.9824487055234641,26,23,3
Medium (1.0-1.5),ssimulacra2,jpegli-420,mozjpeg-444,edge_density,-0.28504336246666134,0.15811512644136289,26,23,3
Medium (1.0-1.5),ssimulacra2,jpegli-420,mozjpeg-444,chroma_complexity,-0.7409316371019055,1.4963833173031983e-05,26,23,3
Medium (1.0-1.5),ssimulacra2,jpegli-420,mozjpeg-444,uniform_block_fraction,-0.3768703911956933,0.057720510107404976,26,23,3
Medium (1.0-1.5),ssimulacra2,mozjpeg-420,mozjpeg-444,variance,0.22505614055410633,0.18694001698254298,36,33,3
Medium (1.0-1.5),ssimulacra2,mozjpeg-420,mozjpeg-444,edge_density,-0.03391220613787499,0.8443373082919116,36,33,3
Medium (1.0-1.5),ssimulacra2,mozjpeg-420,mozjpeg-444,chroma_complexity,-0.7123675554659544,1.0981239931618733e-06,36,33,3
Medium (1.0-1.5),ssimulacra2,mozjpeg-420,mozjpeg-444,uniform_block_fraction,-0.22212899592838323,0.19289058016276767,36,33,3
