bpp_range,metric,config_a,config_b,characteristic,correlation,p_value,n,wins_a,wins_b
Very High (2.0-3.0),butteraugli,jpegli-444,mozjpeg-444,edge_density,0.14674462602286287,0.23602546771420038,67,64,3
Very High (2.0-3.0),butteraugli,jpegli-444,mozjpeg-444,chroma_complexity,-0.012792797434788917,0.9181636677669622,67,64,3
Very High (2.0-3.0),butteraugli,jpegli-444,mozjpeg-444,uniform_block_fraction,-0.5713414408523358,4.43439635721159e-07,67,64,3
Very High (2.0-3.0),butteraugli,jpegli-420,jpegli-444,variance,-0.09999662852682643,0.3868816789800792,77,13,64
Very High (2.0-3.0),butteraugli,jpegli-420,jpegli-444,edge_density,0.1851339881262002,0.10697489464454313,77,13,64
Very High (2.0-3.0),butteraugli,jpegli-420,jpegli-444,chroma_complexity,-0.26291717545445753,0.02087947145904142,77,13,64
Very High (2.0-3.0),butteraugli,jpegli-420,jpegli-444,uniform_block_fraction,-0.020530953680133815,0.8593274957576169,77,13,64
Very High (2.0-3.0),butteraugli,jpegli-420,mozjpeg-420,variance,-0.10205263776920782,0.6967260314954218,17,13,4
Very High (2.0-3.0),butteraugli,jpegli-420,mozjpeg-420,edge_density,0.3382881656414513,0.18413894514126578,17,13,4
Very High (2.0-3.0),butteraugli,jpegli-420,mozjpeg-420,chroma_complexity,0.20581511133080185,0.42806908188207105,17,13,4
Very High (2.0-3.0),butteraugli,jpegli-420,mozjpeg-420,uniform_block_fraction,-0.4495037350558617,0.0702612139432455,17,13,4
Very High (2.0-3.0),butteraugli,jpegli-420,mozjpeg-444,variance,0.08669821613090242,0.7495267548929856,16,13,3
Very High (2.0-3.0),butteraugli,jpegli-420,mozjpeg-444,edge_density,0.26832761803263283,0.31497820801146986,16,13,3
Very High (2.0-3.0),butteraugli,jpegli-420,mozjpeg-444,chroma_complexity,-0.3740729480354614,0.153476368421858,16,13,3
Very High (2.0-3.0),butteraugli,jpegli-420,mozjpeg-444,uniform_block_fraction,-0.8269975130394172,7.768188579095842e-05,16,13,3
