z,target,images_analyzed,winner,winner_pct,jpegli_420_wins,jpegli_444_wins,mozjpeg_420_wins,mozjpeg_444_wins,jpegli_420_pct,jpegli_444_pct,mozjpeg_420_pct,mozjpeg_444_pct,mozjpeg_max_420_pct,mozjpeg_max_444_pct,jpegli_420_mean_size,jpegli_444_mean_size,mozjpeg_420_mean_size,mozjpeg_444_mean_size,jpegli_total_pct,mozjpeg_total_pct
14,14,336,jpegli-420,54.166666666666664,182.0,4.0,69.0,6.0,54.166666666666664,1.1904761904761905,20.535714285714285,1.7857142857142856,20.833333333333336,1.488095238095238,24806.46130952381,29475.10119047619,25035.970238095237,28603.261904761905,55.357142857142854,44.642857142857146
15,15,336,jpegli-420,53.86904761904761,181.0,4.0,66.0,6.0,53.86904761904761,1.1904761904761905,19.642857142857142,1.7857142857142856,21.726190476190478,1.7857142857142856,24987.074404761905,29768.532738095237,25313.175595238095,28928.157738095237,55.0595238095238,44.94047619047619
16,16,336,jpegli-420,53.86904761904761,181.0,4.0,65.0,6.0,53.86904761904761,1.1904761904761905,19.345238095238095,1.7857142857142856,21.726190476190478,2.083333333333333,25212.116071428572,30169.934523809523,25536.53869047619,29259.0,55.0595238095238,44.9404761904762
17,17,336,jpegli-420,52.67857142857143,177.0,3.0,73.0,7.0,52.67857142857143,0.8928571428571428,21.726190476190478,2.083333333333333,20.833333333333336,1.7857142857142856,25523.574404761905,30326.17261904762,25779.925595238095,29418.45535714286,53.57142857142858,46.42857142857143
18,18,336,jpegli-420,56.547619047619044,190.0,3.0,59.0,7.0,56.547619047619044,0.8928571428571428,17.559523809523807,2.083333333333333,21.726190476190478,1.1904761904761905,25786.532738095237,30648.708333333332,26004.907738095237,29794.70238095238,57.44047619047619,42.55952380952381
19,19,336,jpegli-420,54.46428571428571,183.0,3.0,65.0,7.0,54.46428571428571,0.8928571428571428,19.345238095238095,2.083333333333333,22.321428571428573,0.8928571428571428,26157.526785714286,31037.28869047619,26273.660714285714,30087.309523809523,55.357142857142854,44.642857142857146
20,20,336,jpegli-420,55.654761904761905,187.0,3.0,65.0,8.0,55.654761904761905,0.8928571428571428,19.345238095238095,2.380952380952381,20.535714285714285,1.1904761904761905,26456.625,31354.833333333332,26732.33035714286,30513.89880952381,56.54761904761905,43.45238095238095
21,21,336,jpegli-420,59.82142857142857,201.0,3.0,57.0,8.0,59.82142857142857,0.8928571428571428,16.964285714285715,2.380952380952381,18.75,1.1904761904761905,26619.160714285714,31720.011904761905,27009.82738095238,30925.833333333332,60.714285714285715,39.285714285714285
22,22,336,jpegli-420,56.25,189.0,3.0,62.0,8.0,56.25,0.8928571428571428,18.452380952380953,2.380952380952381,20.833333333333336,1.1904761904761905,26939.026785714286,32020.261904761905,27347.738095238095,31272.738095238095,57.142857142857146,42.85714285714286
23,23,336,jpegli-420,56.547619047619044,190.0,3.0,65.0,5.0,56.547619047619044,0.8928571428571428,19.345238095238095,1.488095238095238,20.238095238095237,1.488095238095238,27348.845238095237,32476.654761904763,27648.020833333332,31771.741071428572,57.44047619047619,42.55952380952381
24,24,336,jpegli-420,55.952380952380956,188.0,3.0,61.0,4.0,55.952380952380956,0.8928571428571428,18.154761904761905,1.1904761904761905,22.61904761904762,1.1904761904761905,27650.458333333332,32761.47619047619,28050.083333333332,32127.29761904762,56.8452380952381,43.154761904761905
