z,target,images_analyzed,winner,winner_pct,jpegli_420_wins,jpegli_444_wins,mozjpeg_420_wins,mozjpeg_444_wins,jpegli_420_pct,jpegli_444_pct,mozjpeg_420_pct,mozjpeg_444_pct,mozjpeg_max_420_pct,mozjpeg_max_444_pct,jpegli_420_mean_size,jpegli_444_mean_size,mozjpeg_420_mean_size,mozjpeg_444_mean_size,jpegli_total_pct,mozjpeg_total_pct
11,0.017126960855008838,336,mozjpeg-420,34.82142857142857,100,5,117,7,29.761904761904763,1.488095238095238,34.82142857142857,2.083333333333333,29.761904761904763,2.083333333333333,27613.63988095238,32161.5625,27488.58035714286,31946.66369047619,31.25,68.75
12,0.016689234654236378,336,mozjpeg-420,36.01190476190476,98,5,121,6,29.166666666666668,1.488095238095238,36.01190476190476,1.7857142857142856,29.464285714285715,2.083333333333333,27964.229166666668,32481.145833333332,27710.568452380954,32385.1875,30.654761904761905,69.34523809523809
13,0.0162626957404826,336,mozjpeg-420,37.5,94,5,126,6,27.976190476190478,1.488095238095238,37.5,1.7857142857142856,29.166666666666668,2.083333333333333,28430.910714285714,32871.50892857143,28296.366071428572,32920.68452380953,29.464285714285715,70.53571428571428
14,0.015847058192112885,336,mozjpeg-420,32.73809523809524,108,5,110,6,32.142857142857146,1.488095238095238,32.73809523809524,1.7857142857142856,30.059523809523807,1.7857142857142856,28837.33630952381,33321.681547619046,28738.616071428572,33332.38690476191,33.63095238095239,66.36904761904762
15,0.015442043394999886,336,mozjpeg-420,34.523809523809526,112,5,116,6,33.33333333333333,1.488095238095238,34.523809523809526,1.7857142857142856,27.083333333333332,1.7857142857142856,29197.244047619046,33781.90773809524,29114.095238095237,33978.833333333336,34.82142857142857,65.17857142857143
16,0.015047379855760231,336,mozjpeg-420,36.607142857142854,97,5,123,6,28.869047619047617,1.488095238095238,36.607142857142854,1.7857142857142856,29.464285714285715,1.7857142857142856,29879.20535714286,34087.56547619047,29521.839285714286,34567.71130952381,30.357142857142854,69.64285714285715
17,0.014662803019764503,336,mozjpeg-420,35.11904761904761,107,5,118,5,31.845238095238095,1.488095238095238,35.11904761904761,1.488095238095238,28.273809523809522,1.7857142857142856,30358.425595238095,34450.708333333336,29932.059523809523,34939.58928571428,33.333333333333336,66.66666666666667
18,0.01428805509379844,336,mozjpeg-420,37.202380952380956,105,5,125,5,31.25,1.488095238095238,37.202380952380956,1.488095238095238,26.488095238095237,2.083333333333333,30693.636904761905,35018.61309523809,30352.565476190477,35662.267857142855,32.73809523809524,67.26190476190476
19,0.013922884873256545,336,mozjpeg-420,35.41666666666667,114,5,119,5,33.92857142857143,1.488095238095238,35.41666666666667,1.488095238095238,25.892857142857146,1.7857142857142856,31173.5,35428.607142857145,30807.717261904763,36066.16369047619,35.41666666666667,64.58333333333334
20,0.0135670475737522,336,mozjpeg-420,36.904761904761905,109,4,124,5,32.44047619047619,1.1904761904761905,36.904761904761905,1.488095238095238,26.190476190476193,1.7857142857142856,31766.244047619046,36005.270833333336,31303.63988095238,36715.505952380954,33.63095238095238,66.36904761904763
