z,target,images_analyzed,winner,winner_pct,jpegli_420_wins,jpegli_444_wins,mozjpeg_420_wins,mozjpeg_444_wins,jpegli_420_pct,jpegli_444_pct,mozjpeg_420_pct,mozjpeg_444_pct,mozjpeg_max_420_pct,mozjpeg_max_444_pct,jpegli_420_mean_size,jpegli_444_mean_size,mozjpeg_420_mean_size,mozjpeg_444_mean_size,jpegli_total_pct,mozjpeg_total_pct
16,7.134907437410543,336,jpegli-420,49.404761904761905,166,18,82,8,49.404761904761905,5.357142857142857,24.404761904761905,2.380952380952381,15.476190476190476,2.976190476190476,30347.237237237237,33178.62797619047,32276.513513513513,34768.52976190476,54.76190476190476,45.238095238095234
17,7.034940816520595,336,jpegli-420,50.595238095238095,170,16,80,9,50.595238095238095,4.761904761904762,23.809523809523807,2.6785714285714284,15.178571428571427,2.976190476190476,30633.74096385542,33456.5,32775.177177177175,35152.955357142855,55.357142857142854,44.64285714285713
18,6.936374820008724,336,jpegli-420,47.91666666666667,161,18,79,9,47.91666666666667,5.357142857142857,23.511904761904763,2.6785714285714284,17.261904761904763,3.273809523809524,31166.01204819277,33749.830357142855,33874.04518072289,35581.94047619047,53.273809523809526,46.726190476190474
19,6.839189823838115,336,jpegli-420,46.726190476190474,157,15,75,12,46.726190476190474,4.464285714285714,22.321428571428573,3.571428571428571,19.642857142857142,3.273809523809524,31882.2921686747,34416.044642857145,34534.8734939759,36111.63690476191,51.19047619047619,48.80952380952382
20,6.743366478922776,336,jpegli-420,49.107142857142854,165,18,72,9,49.107142857142854,5.357142857142857,21.428571428571427,2.6785714285714284,17.857142857142858,3.571428571428571,32531.43674698795,35064.94940476191,34982.99397590361,36688.76488095238,54.46428571428571,45.53571428571428
21,6.648885707275217,336,jpegli-420,49.107142857142854,165,19,66,9,49.107142857142854,5.654761904761905,19.642857142857142,2.6785714285714284,19.345238095238095,3.571428571428571,32969.93674698795,35525.12797619047,35722.153614457835,37276.37797619047,54.76190476190476,45.238095238095234
22,6.555728698208117,336,jpegli-420,44.94047619047619,151,19,80,10,44.94047619047619,5.654761904761905,23.809523809523807,2.976190476190476,19.047619047619047,3.571428571428571,33681.05421686747,35878.943452380954,36266.85843373494,37911.09821428572,50.595238095238095,49.4047619047619
23,6.463876904589199,336,jpegli-420,45.23809523809524,152,18,81,10,45.23809523809524,5.357142857142857,24.107142857142858,2.976190476190476,18.75,3.571428571428571,34308.698795180724,36354.931547619046,36622.25377643504,38593.375,50.595238095238095,49.4047619047619
24,6.373312039148581,336,jpegli-420,43.75,147,18,82,9,43.75,5.357142857142857,24.404761904761905,2.6785714285714284,20.238095238095237,3.571428571428571,34722.99698795181,36735.00892857143,37317.469696969696,39379.880952380954,49.107142857142854,50.89285714285714
25,6.284016070837865,336,jpegli-420,43.154761904761905,145,21,81,10,43.154761904761905,6.25,24.107142857142858,2.976190476190476,19.642857142857142,3.869047619047619,35267.73795180723,37069.86011904762,37994.930303030305,39879.854166666664,49.404761904761905,50.595238095238095
26,6.1959712212402405,336,jpegli-420,44.345238095238095,149,20,86,11,44.345238095238095,5.952380952380952,25.595238095238095,3.273809523809524,16.964285714285715,3.869047619047619,35983.23564954683,37947.40476190476,38558.378787878784,40614.09523809524,50.297619047619044,49.702380952380956
